Country,Technology,Grid connection,Year,Electricity generation in GWh,Type
Afghanistan,Solar photovoltaic,Off-grid,2015,33.32,Renewable
Afghanistan,Solar photovoltaic,Off-grid,2016,35.499,Renewable
Afghanistan,Solar photovoltaic,Off-grid,2017,35.769,Renewable
Afghanistan,Solar photovoltaic,Off-grid,2018,34.946,Renewable
Afghanistan,Solar photovoltaic,Off-grid,2019,34.125,Renewable
Afghanistan,Solar photovoltaic,On-grid,2015,0,Renewable
Afghanistan,Solar photovoltaic,On-grid,2016,2.992,Renewable
Afghanistan,Solar photovoltaic,On-grid,2017,2.263,Renewable
Afghanistan,Solar photovoltaic,On-grid,2018,2.263,Renewable
Afghanistan,Solar photovoltaic,On-grid,2019,15.578,Renewable
Afghanistan,Solar thermal energy,Off-grid,2015,0,Renewable
Afghanistan,Solar thermal energy,Off-grid,2016,0,Renewable
Afghanistan,Solar thermal energy,Off-grid,2017,0,Renewable
Afghanistan,Solar thermal energy,Off-grid,2018,0,Renewable
Afghanistan,Solar thermal energy,Off-grid,2019,0,Renewable
Afghanistan,Solar thermal energy,On-grid,2015,0,Renewable
Afghanistan,Solar thermal energy,On-grid,2016,0,Renewable
Afghanistan,Solar thermal energy,On-grid,2017,0,Renewable
Afghanistan,Solar thermal energy,On-grid,2018,0,Renewable
Afghanistan,Solar thermal energy,On-grid,2019,0,Renewable
Afghanistan,Onshore wind energy,Off-grid,2015,0.123,Renewable
Afghanistan,Onshore wind energy,Off-grid,2016,0.123,Renewable
Afghanistan,Onshore wind energy,Off-grid,2017,0.123,Renewable
Afghanistan,Onshore wind energy,Off-grid,2018,0.123,Renewable
Afghanistan,Onshore wind energy,Off-grid,2019,0.123,Renewable
Afghanistan,Onshore wind energy,On-grid,2015,0,Renewable
Afghanistan,Onshore wind energy,On-grid,2016,0,Renewable
Afghanistan,Onshore wind energy,On-grid,2017,0,Renewable
Afghanistan,Onshore wind energy,On-grid,2018,0,Renewable
Afghanistan,Onshore wind energy,On-grid,2019,0,Renewable
Afghanistan,Offshore wind energy,Off-grid,2015,0,Renewable
Afghanistan,Offshore wind energy,Off-grid,2016,0,Renewable
Afghanistan,Offshore wind energy,Off-grid,2017,0,Renewable
Afghanistan,Offshore wind energy,Off-grid,2018,0,Renewable
Afghanistan,Offshore wind energy,Off-grid,2019,0,Renewable
Afghanistan,Offshore wind energy,On-grid,2015,0,Renewable
Afghanistan,Offshore wind energy,On-grid,2016,0,Renewable
Afghanistan,Offshore wind energy,On-grid,2017,0,Renewable
Afghanistan,Offshore wind energy,On-grid,2018,0,Renewable
Afghanistan,Offshore wind energy,On-grid,2019,0,Renewable
Afghanistan,Renewable hydropower,Off-grid,2015,109.708,Renewable
Afghanistan,Renewable hydropower,Off-grid,2016,107.598,Renewable
Afghanistan,Renewable hydropower,Off-grid,2017,119.652,Renewable
Afghanistan,Renewable hydropower,Off-grid,2018,105.841,Renewable
Afghanistan,Renewable hydropower,Off-grid,2019,130.397,Renewable
Afghanistan,Renewable hydropower,On-grid,2015,890.863,Renewable
Afghanistan,Renewable hydropower,On-grid,2016,917.31,Renewable
Afghanistan,Renewable hydropower,On-grid,2017,929.051,Renewable
Afghanistan,Renewable hydropower,On-grid,2018,821.811,Renewable
Afghanistan,Renewable hydropower,On-grid,2019,1012.478,Renewable
Afghanistan,Pumped storage,Off-grid,2015,0,Renewable
Afghanistan,Pumped storage,Off-grid,2016,0,Renewable
Afghanistan,Pumped storage,Off-grid,2017,0,Renewable
Afghanistan,Pumped storage,Off-grid,2018,0,Renewable
Afghanistan,Pumped storage,Off-grid,2019,0,Renewable
Afghanistan,Pumped storage,On-grid,2015,0,Renewable
Afghanistan,Pumped storage,On-grid,2016,0,Renewable
Afghanistan,Pumped storage,On-grid,2017,0,Renewable
Afghanistan,Pumped storage,On-grid,2018,0,Renewable
Afghanistan,Pumped storage,On-grid,2019,0,Renewable
Afghanistan,Marine energy,Off-grid,2015,0,Renewable
Afghanistan,Marine energy,Off-grid,2016,0,Renewable
Afghanistan,Marine energy,Off-grid,2017,0,Renewable
Afghanistan,Marine energy,Off-grid,2018,0,Renewable
Afghanistan,Marine energy,Off-grid,2019,0,Renewable
Afghanistan,Marine energy,On-grid,2015,0,Renewable
Afghanistan,Marine energy,On-grid,2016,0,Renewable
Afghanistan,Marine energy,On-grid,2017,0,Renewable
Afghanistan,Marine energy,On-grid,2018,0,Renewable
Afghanistan,Marine energy,On-grid,2019,0,Renewable
Afghanistan,Solid biofuels,Off-grid,2015,0,Renewable
Afghanistan,Solid biofuels,Off-grid,2016,0,Renewable
Afghanistan,Solid biofuels,Off-grid,2017,0,Renewable
Afghanistan,Solid biofuels,Off-grid,2018,0,Renewable
Afghanistan,Solid biofuels,Off-grid,2019,0,Renewable
Afghanistan,Solid biofuels,On-grid,2015,0,Renewable
Afghanistan,Solid biofuels,On-grid,2016,0,Renewable
Afghanistan,Solid biofuels,On-grid,2017,0,Renewable
Afghanistan,Solid biofuels,On-grid,2018,0,Renewable
Afghanistan,Solid biofuels,On-grid,2019,0,Renewable
Afghanistan,Renewable municipal waste,Off-grid,2015,0,Renewable
Afghanistan,Renewable municipal waste,Off-grid,2016,0,Renewable
Afghanistan,Renewable municipal waste,Off-grid,2017,0,Renewable
Afghanistan,Renewable municipal waste,Off-grid,2018,0,Renewable
Afghanistan,Renewable municipal waste,Off-grid,2019,0,Renewable
Afghanistan,Renewable municipal waste,On-grid,2015,0,Renewable
Afghanistan,Renewable municipal waste,On-grid,2016,0,Renewable
Afghanistan,Renewable municipal waste,On-grid,2017,0,Renewable
Afghanistan,Renewable municipal waste,On-grid,2018,0,Renewable
Afghanistan,Renewable municipal waste,On-grid,2019,0,Renewable
Afghanistan,Liquid biofuels,Off-grid,2015,0,Renewable
Afghanistan,Liquid biofuels,Off-grid,2016,0,Renewable
Afghanistan,Liquid biofuels,Off-grid,2017,0,Renewable
Afghanistan,Liquid biofuels,Off-grid,2018,0,Renewable
Afghanistan,Liquid biofuels,Off-grid,2019,0,Renewable
Afghanistan,Liquid biofuels,On-grid,2015,0,Renewable
Afghanistan,Liquid biofuels,On-grid,2016,0,Renewable
Afghanistan,Liquid biofuels,On-grid,2017,0,Renewable
Afghanistan,Liquid biofuels,On-grid,2018,0,Renewable
Afghanistan,Liquid biofuels,On-grid,2019,0,Renewable
Afghanistan,Biogas,Off-grid,2015,0,Renewable
Afghanistan,Biogas,Off-grid,2016,0,Renewable
Afghanistan,Biogas,Off-grid,2017,0,Renewable
Afghanistan,Biogas,Off-grid,2018,0,Renewable
Afghanistan,Biogas,Off-grid,2019,0,Renewable
Afghanistan,Biogas,On-grid,2015,0,Renewable
Afghanistan,Biogas,On-grid,2016,0,Renewable
Afghanistan,Biogas,On-grid,2017,0,Renewable
Afghanistan,Biogas,On-grid,2018,0,Renewable
Afghanistan,Biogas,On-grid,2019,0,Renewable
Afghanistan,Geothermal energy,Off-grid,2015,0,Renewable
Afghanistan,Geothermal energy,Off-grid,2016,0,Renewable
Afghanistan,Geothermal energy,Off-grid,2017,0,Renewable
Afghanistan,Geothermal energy,Off-grid,2018,0,Renewable
Afghanistan,Geothermal energy,Off-grid,2019,0,Renewable
Afghanistan,Geothermal energy,On-grid,2015,0,Renewable
Afghanistan,Geothermal energy,On-grid,2016,0,Renewable
Afghanistan,Geothermal energy,On-grid,2017,0,Renewable
Afghanistan,Geothermal energy,On-grid,2018,0,Renewable
Afghanistan,Geothermal energy,On-grid,2019,0,Renewable
Afghanistan,Coal and peat,Off-grid,2015,0,Non renewable
Afghanistan,Coal and peat,Off-grid,2016,0,Non renewable
Afghanistan,Coal and peat,Off-grid,2017,0,Non renewable
Afghanistan,Coal and peat,Off-grid,2018,0,Non renewable
Afghanistan,Coal and peat,Off-grid,2019,0,Non renewable
Afghanistan,Coal and peat,On-grid,2015,0,Non renewable
Afghanistan,Coal and peat,On-grid,2016,0,Non renewable
Afghanistan,Coal and peat,On-grid,2017,0,Non renewable
Afghanistan,Coal and peat,On-grid,2018,0,Non renewable
Afghanistan,Coal and peat,On-grid,2019,0,Non renewable
Afghanistan,Oil,Off-grid,2015,0,Non renewable
Afghanistan,Oil,Off-grid,2016,0,Non renewable
Afghanistan,Oil,Off-grid,2017,0,Non renewable
Afghanistan,Oil,Off-grid,2018,0,Non renewable
Afghanistan,Oil,Off-grid,2019,0,Non renewable
Afghanistan,Oil,On-grid,2015,109.65,Non renewable
Afghanistan,Oil,On-grid,2016,118.12,Non renewable
Afghanistan,Oil,On-grid,2017,136.46,Non renewable
Afghanistan,Oil,On-grid,2018,155.373,Non renewable
Afghanistan,Oil,On-grid,2019,141.085,Non renewable
Afghanistan,Natural gas,Off-grid,2015,0,Non renewable
Afghanistan,Natural gas,Off-grid,2016,0,Non renewable
Afghanistan,Natural gas,Off-grid,2017,0,Non renewable
Afghanistan,Natural gas,Off-grid,2018,0,Non renewable
Afghanistan,Natural gas,Off-grid,2019,0,Non renewable
Afghanistan,Natural gas,On-grid,2015,0,Non renewable
Afghanistan,Natural gas,On-grid,2016,0,Non renewable
Afghanistan,Natural gas,On-grid,2017,0,Non renewable
Afghanistan,Natural gas,On-grid,2018,0,Non renewable
Afghanistan,Natural gas,On-grid,2019,0,Non renewable
Afghanistan,Nuclear,Off-grid,2015,0,Non renewable
Afghanistan,Nuclear,Off-grid,2016,0,Non renewable
Afghanistan,Nuclear,Off-grid,2017,0,Non renewable
Afghanistan,Nuclear,Off-grid,2018,0,Non renewable
Afghanistan,Nuclear,Off-grid,2019,0,Non renewable
Afghanistan,Nuclear,On-grid,2015,0,Non renewable
Afghanistan,Nuclear,On-grid,2016,0,Non renewable
Afghanistan,Nuclear,On-grid,2017,0,Non renewable
Afghanistan,Nuclear,On-grid,2018,0,Non renewable
Afghanistan,Nuclear,On-grid,2019,0,Non renewable
Afghanistan,Fossil fuels n.e.s.,Off-grid,2015,37.013,Non renewable
